Satelit,Latitude,Longitude,Kedalaman,Temperature
9,-7.820523,110.121017,7.9,29.4
9,-7.820522,110.121017,8.1,29.5
9,-7.820517,110.121017,7.6,29.5
9,-7.820508,110.121017,7.5,29.4
8,-7.820502,110.121017,8.1,29.4
8,-7.820498,110.121017,8,29.4
8,-7.820495,110.121017,7.8,29.5
8,-7.820495,110.121017,7.5,29.5
7,-7.820498,110.121017,8.1,29.5
8,-7.8205,110.121017,7.8,29.5
8,-7.8205,110.121017,7.5,29.4
8,-7.8205,110.121025,7.3,29.4
6,-7.8205,110.121025,7,29.4
5,-7.8205,110.121025,7.2,29.5
5,-7.820502,110.121025,7.1,29.5
7,-7.8205,110.121025,7.1,29.4
7,-7.820497,110.121025,7.2,29.4
7,-7.820495,110.121025,7.2,29.4
6,-7.820493,110.121025,7,29.6
6,-7.820492,110.121025,7.1,29.5
9,-7.82049,110.121032,7.3,29.6
9,-7.820485,110.121032,7.6,29.4
8,-7.820483,110.121032,7.2,29.5
9,-7.820482,110.121032,7.1,29.5
9,-7.820482,110.121032,7.4,29.4
9,-7.820487,110.121032,7.4,29.5
5,-7.82049,110.121025,7.7,29.5
9,-7.820497,110.121025,7.7,29.5
8,-7.8205,110.121025,7.5,29.5
8,-7.820503,110.121025,7.4,29.4
9,-7.820508,110.121025,7.4,29.5
8,-7.820517,110.121025,7.4,29.4
8,-7.820523,110.121025,7.7,29.5
9,-7.820527,110.121025,8,29.5
8,-7.82053,110.121025,7.5,29.5
8,-7.820532,110.121017,7.8,29.6
8,-7.820535,110.121017,7.6,29.4
8,-7.820538,110.121025,7.4,29.5
9,-7.820542,110.121025,7.4,29.5
9,-7.820543,110.121025,7.7,29.4
10,-7.820545,110.121025,7.9,29.4
10,-7.820547,110.121025,7.6,29.5
9,-7.820545,110.121025,7.6,29.5
10,-7.820543,110.121025,7.6,29.4
10,-7.820543,110.121017,7.9,29.6
10,-7.820543,110.121017,7.5,29.5
10,-7.820543,110.121025,8.1,29.6
10,-7.820545,110.121025,7.7,29.5
10,-7.820547,110.121025,8,29.5
9,-7.820549,110.121025,7.6,29.6
